movie_seq,movie_img,movie_title,movie_type,movie_country,movie_runtime,movie_age,movie_open_date,movie_rating,movie_director,movie_actor,movie_content,,admin_id
316,182835,침입자,"미스터리, 스릴러",한국,102분,15세 관람가,2020.06.04,5.45,손원평,"송지효, 김무열","얼마 전 사고로 아내를 잃고 실의에 빠져 있는 건축가 ‘서진’에게<br/>25년 전 실종된 동생을 찾았다는 연락이 온다<br/>처음 본 자신을 친근하게 “오빠”라고 부르는 ‘유진’이 어딘가 불편한 ‘서진’과 달리<br/>가족들은 금세 그녀를 받아들인다<br/><br/>그런데 ‘유진’이 돌아온 후 가족들에게 이상한 일들이 벌어지기 시작하고,<br/>이를 의심스럽게 여긴 ‘서진’은 동생의 비밀을 쫓다 자신의 일상을 송두리째 뒤흔든 사건에<br/>그녀가 연관되어 있음을 알게 되는데...<br/><br/>추적 끝에 드러나는 충격적인 진실!",,admin01
317,154278,카메론 포스트의 잘못된 교육,드라마,"미국, 영국",91분,15세 관람가,2020.06.04,8.43,디자이리 아카반,"클로이 모레츠, 제니퍼 엘, 사샤 레인",지극히 평범한 일상을 보내는 소녀 ‘카메론’은<br/>자신의 연인 ‘콜리’와 아슬아슬한 관계를 이어가다<br/>보수적인 가족들에 의해 작은 교회가 운영하는<br/>‘동성애 치료 센터’에 강제 입소하게 된다.<br/>자신의 성 정체성을 부정하고 교육하는 학교에서<br/>‘카메론’은 진짜 자신의 모습을 찾아 나서는데…,,admin01
318,174261,카오산 탱고,"드라마, 멜로/로맨스",한국,97분,12세 관람가,2020.07.30,6.92,김범삼,"홍완표, 현리, 오창경","과거를 여행하는 남자 지하(홍완표)와<br/>현재를 여행하는 여자 하영(현리),<br/><br/>방콕이 제2의 고향이 된 프로 태국 여행러 하영에 비해<br/>지하는 방콕이 초행이라 모든 것이 서툴다.<br/>방콕에 위치한 여행자들의 성지, ‘카오산 로드’에서 만난 여행자들이 흔히 그렇듯이 자연스럽게 동행하게 된 두 사람.<br/>그렇게 낯선 여행지에서 만난 두 남녀는, 서로의 일상을 공유하면서 조금씩 가까워진다.",,admin01
319,178687,카일라스 가는 길,다큐멘터리,한국,89분,전체 관람가,2020.09.03,9.37,정형민,"이춘숙, 정형민","- 할머니의 ‘파미르 일기’ 중<br/><br/>돌아오지 못한 사람들을 위해 기도를 올리고자 했던 어머니<br/>지구에서 가장 아름다운 일출과 푸른 새벽을 만날 수 있는<br/>티베트의 성지 카일라스로 떠났다.  <br/>바이칼 호수에서 티베트까지, 인생을 닮은 아름다운 길 위에서<br/>“여든 네살 생일을 정말 축하합니다!“",,admin01
320,185285,카페 벨에포크,"코미디, 드라마",프랑스,115분,15세 관람가,2020.05.20,8.41,니콜라스 베도스,"다니엘 오떼유, 기욤 까네, 도리아 틸리에",행복했던 그때 그 모든 것이 그리워진 ‘빅토르’는<br/>100% 고객 맞춤형 핸드메이드 시간여행의 설계자 ‘앙투안’의 초대로<br/>하룻밤의 시간여행을 떠난다<br/>그의 눈 앞에 마법처럼 펼쳐진 ‘카페 벨에포크’에서<br/>‘빅토르’는 꿈에 그리던 첫사랑과 재회하게 되는데...,,admin01
321,176028,캣츠토피아,"애니메이션, 판타지",중국,87분,전체 관람가,2020.04.30,4.04,게리 왕,"유민상, 오나미, 박지현","도심 고층 아파트에서 평화롭게 살고 있는 뚱보냥 '블랭키'와 아가냥 '케이프'. <br/>먹는 거 빼고 만사가 귀찮은 아빠와 달리 창문 밖 모든 게 궁금한 호기심 대장 '케이프'는 <br/>어느 날, 엄마가 있다는 전설 속 '캣츠토피아'를 향해 모험을 떠난다. <br/><br/>세상 무서운 줄 모르는 철부지를 찾아 나선 소심한 아빠 '블랭키'와<br/>그의 수다쟁이 앵무새 친구 '맥'은 위험천만한 도시를 지나<br/>환상과 비밀이 가득한 꿈의 숲 ‘캣츠토피아’에 도착해 ‘케이프’를 찾을 수 있을까?",,admin01
322,189712,코드 8,"SF, 액션, 드라마",캐나다,98분,15세 관람가,2020.07.02,5.69,제프 챈,"로비 아멜, 스티븐 아멜, 성 강","근 미래, 인류의 4%뿐인 초능력자 ‘특수 인간’의 능력이 통제 받는 세상.<br/>인간들은 그들을 범죄자로 취급하며 감시와 탄압을 일삼는다.<br/>죽음으로 내모는 인간들의 악랄함에<br/>‘특수 인간’은 살아남기 위해 목숨을 건 최후의 전쟁을 시작하게 되는데…",,admin01
323,197277,코마,SF,러시아 연방,111분,15세 관람가,2020.11.12,7.08,니키타 아르구노프,"리날 무하메토프, 리우보프 악세노바, 안톤 팜부쉬니","젊고 재능은 있지만 세상에 인정받지 못한 건축가 ‘빅터’는 갑작스러운 사고를 당한 후 <br/>잠에서 깨어난다. <br/>어떤 과학적 논리로도 설명할 수 없는 중력, 물리법칙을 무시한 건물들과 공간이 있는 이곳은 <br/>혼수상태에 빠진 자들만 올 수 있는 곳 ‘코마’라는 세계이다. <br/>이곳에 있는 사람들은 ‘리퍼’라는 정체불명의 괴물에게 쫓겨 안전한 섬을 찾으러 떠나게 되고, <br/>그 섬과 관련해서 엄청난 비밀이 드러나는데 <br/>과연 ‘빅터’는 혼수상태에서 현실세계로 빠져나올 수 있을까…",,admin01
324,192147,콜 오브 와일드,"모험, 드라마, 가족",미국,100분,"12세 관람가, PG",2020.05.14,8.88,크리스 샌더스,해리슨 포드,"1890년대 골드러시 시대,<br/>금광이 발견되었다는 소식에 일확천금을 노린 수많은 사람들이 알래스카로 몰려든다.<br/> <br/>따뜻한 캘리포니아의 부유한 가정에서 길러지던 개 ‘벅’은<br/>한순간 납치되어 알래스카 유콘으로 팔려가게 되고<br/>안락했던 과거와는 전혀 다른 삶이 시작된다.<br/> <br/>광활한 대자연, 거친 약육강식의 세계 속<br/>우편배달 썰매견 팀의 신참이 된 ‘벅’.<br/>끊임없는 역경이 그를 찾아오지만,<br/>진정한 용기는 ‘벅’을 점차 팀의 리더 자리에 오르게 하는데…<br/> <br/>야성의 부름에 응답하라! 위대한 여정이 펼쳐진다!",,admin01
325,181925,클로젯,"미스터리, 드라마",한국,98분,15세 관람가,2020.02.05,6.39,김광빈,"하정우, 김남길, 허율","갑작스러운 사고로 아내를 잃은 상원(하정우)과 그의 딸 이나(허율)<br/>상원은 소원해진 이나와의 관계를 회복하기 위해 새집으로 이사를 간다.<br/><br/>상원은 이나와 가까워지기 위해 노력하지만 어긋난 사이는 좀처럼 회복되지 않는다.<br/>그러던 어느 날 이나가 새로운 친구가 생겼다며 웃기 시작한다.<br/>하지만 평온도 잠시, 이나의 방 안에 있는 벽장에서 기이한 소리들이 들려오고<br/>이나에게 이상 증세가 나타난다.<br/>그리고 상원마저 이상한 꿈을 꾸기 시작한 지 얼마 후, 이나가 흔적도 없이 사라진다.<br/>이나의 흔적을 쫓는 상원에게 의문의 남자 경훈(김남길)이 찾아와<br/>딸의 행방을 알고 있다며 가리킨 곳은 다름 아닌 이나의 ‘벽장’.<br/><br/>10년간 실종된 아이들의 행방을 쫓고 있는 경훈은 믿기 힘든 이야기를 꺼내고<br/>상원은 딸을 찾을 수 있다는 마음으로 열어서는 안 될 벽장을 향해 손을 뻗는데…",,admin01
326,193806,킬러의 보디가드 무삭제 특별판,"액션, 코미디",미국,125분,청소년 관람불가,2020.05.20,8.69,패트릭 휴즈,"라이언 레이놀즈, 사무엘 L. 잭슨","세상 제일 잘난 맛에 사는 섭외 1순위 앵그리 보디가드가<br/>지명수배 1순위 구강 액션 지존 킬러를 보호하게 되면서 벌어지는<br/>누가 누구를 지키는 지 모를, 서로 못 죽여서 안달 난<br/>브로맨스 제로, 환장 케미의 킬링 액션 블록버스터",,admin01
327,191642,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,애니메이션,일본,76분,12세 관람가,2020.04.02,7.94,히시다 마사카즈,"테라시마 쥰타, 하타나카 타스쿠, 사이토 소우마","모두를 마음을 사로잡은 '킹 오브 프리즘' 시리즈가,<br/>이번엔 킹프리 올스타즈로 다시 스크린에 돌아온다!<br/><br/>팬들이 직접 선정한 <br/>주옥같은 프리즘 쇼 베스트 10을 한자리에!<br/>상상 초월한 프리즘 쇼가 당신의 마음을 사로잡는다!<br/><br/>과연 당신의 가슴을 설레게 할<br/>'프리즘 쇼'의 주인공은 누가 될 것인가?!<br/><br/>신개념 엔터테인먼트 쇼의 세계로 여러분을 초대합니다!",,admin01
328,187507,타발루가와 얼음공주,"애니메이션, 모험, 코미디",독일,87분,전체 관람가,2020.01.08,9.26,스벤 운터발트 주니어,"김혜성, 강은애","그린랜드에 사는 꼬마 용 ‘타발루가’는 진정한 용의 불을 찾기 위해 아이스랜드로 떠나고 그곳에서 얼음공주 ‘릴리’를 만나 둘은 친구가 된다.<br/>한편, 속임수로 아이스랜드를 지배하던 악당 ‘악토스’는 마지막으로 살아남은 용 ‘타발루가’를 없애고 그린랜드까지 차지하려 하는데…<br/><br/>과연, ‘타발루가’와 ‘릴리’는 그린랜드와 아이스랜드를 지켜낼 수 있을까?",,admin01
329,185282,타오르는 여인의 초상,드라마,프랑스,121분,15세 관람가,2020.01.16,9.04,셀린 시아마,"아델 에넬, 노에미 메를랑, 루아나 바야미","초상화를 그리는 화가 마리안느(노에미 멜랑)는 <br/>원치 않는 결혼을 앞둔 귀족 아가씨 엘로이즈(아델 에넬)의 결혼 초상화 의뢰를 받는다. <br/>엘로이즈 모르게 그림을 완성해야 하는 마리안느는 비밀스럽게 그녀를 관찰하며<br/>알 수 없는 묘한 감정의 기류에 휩싸이게 된다.  <br/><br/>잊을 수 없는, 잊혀지지 않을 사랑의 기억을 마주하게 할 걸작을 만난다!",,admin01
330,194485,태백권,"코미디, 액션, 드라마",한국,107분,15세 관람가,2020.08.20,5.38,최상훈,"오지호, 신소율, 정의욱","대결을 앞두고 홀연히 자취를 감춘 사형 '진수'를 찾기 위해 속세로 내려온 태백권 전승자 '성준'. 우연히 운명의 그녀 '보미'를 만나 졸지에 가장이 되어 속세에 눌러앉게 된 성준은, 생계의 벽 앞에 평생 수련한 태백권은 무용지물일 뿐이라는 것을 깨닫고 재능을 살려(?) 지압원을 차리게 된다. <br/>그러나 이 또한 순탄치는 않다. 사채업자와 재개발 세력에 의해 지압원과 가족들이 위험에 처하자, 성준은 소중한 것들을 지키기 위해 다시 한 번 태백권을 연마하기 시작하는데...<br/><br/>지압사가 된 강호의 고수, 숨어있던 그의 본능이 폭발한다!",,admin01
331,174829,태양의 소녀들,"드라마, 전쟁",프랑스,111분,15세 관람가,2020.10.22,9.07,에바 허슨,"골쉬프테 파라하니, 엠마누엘 베르코","2014년 8월, 극단주의 무장조직 IS의 무차별적인 공격으로<br/>참극을 겪은 '바하르'<br/><br/>야지디족의 모든 남성들은 사살되고,<br/>야지디족의 모든 남자아이들은 IS 전투원이 되었고,<br/>야지디족의 모든 여성들과 여자아이들은 성노예로 팔려나갔다.<br/><br/>그리고, '바하르'와 야지디족 여성들은<br/>여성과 생명, 자유를 위해 총을 들었다.<br/><br/>""내가 할 일은 증인이 되는 겁니다""<br/><br/>프랑스 종군 기자 '마틸드'<br/>참혹한 전쟁의 실상을 알리기 위해 전선에 뛰어든 그녀는<br/>야지디족 여성 전투 부대 '걸스 오브 더 썬'과 함께<br/>IS의 만행을 밝히기 위해 총을 들었다.<br/><br/>당신을 전율케 할 위대한 실화!",,admin01
332,196373,택스 콜렉터,액션,미국,95분,청소년 관람불가,2020.11.18,4.35,데이비드 에이어,"샤이아 라보프, 바비 소토",LA 지역 갱들을 관리하며 상납금을 수금하는 최고의 파트너 ‘크리퍼’와 ‘데이비드’<br/>세상 무서울 것 없는 이들 앞에 조직을 통째로 삼키려는 무법자 ‘코네호’가 나타난다.<br/>지독하고 거칠게 살아남은 두 사람은 <br/>조직과 모든 것을 지키기 위해 무자비한 피의 전쟁을 시작하는데…,,admin01
333,143619,탱크 투 베를린,"드라마, 전쟁",러시아 연방,86분,15세 관람가,2020.12.23,7.33,세르게이 포포브,"유리 보리소프, 아미르 압디칼리코프, 마리야 카르포바","제2차 세계대전,<br/>사형 선고를 받게 된 통신 장교 '오가르코프 세르게이 레오니도비치' 중위<br/>그를 감시해야 하는 임무를 받은 ‘주르바예프’ <br/>사형수와 감시자, 전혀 다른 두 사람은<br/>목적지인 육군 본부로 향하면서 극적인 사건들과 마주하게 되는데..<br/><br/>제2차 세계대전의 격돌, <br/>그 속에서 피어나는 감동과 우정!",,admin01
334,190010,테넷,"액션, SF","영국, 미국",150분,12세 관람가,2020.08.26,8.15,크리스토퍼 놀란,"존 데이비드 워싱턴, 로버트 패틴슨, 엘리자베스 데비키",시간의 흐름을 뒤집는 인버전을 통해 현재와 미래를 오가며 세상을 파괴하려는 사토르(케네스 브래너)를 막기 위해 투입된 작전의 주도자(존 데이비드 워싱턴). 인버전에 대한 정보를 가진 닐(로버트 패틴슨)과 미술품 감정사이자 사토르에 대한 복수심이 가득한 그의 아내 캣(엘리자베스 데비키)과 협력해 미래의 공격에 맞서 제3차 세계대전을 막아야 한다!,,admin01
335,183278,테스와 보낸 여름,드라마,"네덜란드, 독일",84분,전체 관람가,2020.09.10,9.07,스티븐 바우터루드,"소니 코프스 판 우테렌, 조세핀 아렌센, 트에보 게리츠마","엉뚱한 소년 ‘샘’은 가족과 함께 떠난 바닷가 휴양지에서도 죽음에 대해 고민하는 중이다.<br/>지구에 남은 마지막 공룡은 어떤 마음이었을까 상상하던 ‘샘’은<br/> 언젠가 혼자 남겨질 경우를 대비해 ‘외로움 적응 훈련’에 돌입한다.<br/>그런데 섬에서 만난 소녀 ‘테스’로 인해 계획에 차질이 생기기 시작한다.<br/>첫 만남에 다짜고짜 살사 춤을 추자고 하는 더 엉뚱한 소녀 ‘테스’는<br/> 어디로 튈지 알 수 없는 행동으로 ‘샘’을 놀라게 한다.<br/>그러던 중 어른들은 모르는 ‘테스’의 비밀스러운 계획을 알게 된 ‘샘’은 이에 동참하게 되는데…<br/>얼마 남지 않은 여름의 끝, 그전에 미션을 수행해야 한다!<br/><br/>혼자도 좋지만… 함께여서 더욱 좋은!<br/>‘샘’과 ‘테스’의 인생을 건 여름 프로젝트가 시작된다!",,admin01
336,191919,테슬라,드라마,미국,102분,"12세 관람가, PG-13",2020.10.28,4.46,마이클 알메레이다,에단 호크,"니콜라 테슬라는 교류 전류 전송 시스템으로 에디슨과의 경쟁에서 승리를 거머쥔다.<br/>하지만 작은 승리로 만족할 수 없었던 테슬라는 세상의 패러다임을 바꿀 위대한 발명에 착수한다.<br/>그의 발명은 다름아닌 빛, 에너지 정보를 전 세계에 무선으로 전송하는 혁신적인 기술.<br/>막대한 연구비가 필요한 그는 최고의 자본가인 J. P. 모건의 도움을 구하게 되고<br/>콜로라도의 연구소에서 하늘로 번개를 쏘아 올리는 연구를 시작하게 되는데...",,admin01
337,194661,테우리,드라마,한국,85분,15세 관람가,2020.07.09,6.97,이난,"서현우, 한사명, 서진원",25년 전 어느 날 사라진 춘배의 편지가 사촌 동생 짱구에게 배달된다.<br/>편지 안에는 춘배의 연인이었던 복순과 또 다른 사람들에게 전해야 하는 편지들이 들어있다.<br/>짱구는 복순을 찾아 편지를 전하고 함께 장반장을 만난다.<br/>세 사람은 25년 전의 기억을 되짚어가다 결국 편지를 보낸 사람과 마주한다.<br/>그리고 그를 통해 얽힌 실타래가 풀리기 시작하는데…,,admin01
338,85825,톰보이,드라마,프랑스,82분,"12세 관람가, NR",2020.05.14,9.15,셀린 시아마,"조 허란, 말론 레바나","새로 이사 온 아이, ‘미카엘’.<br/>파란색을 좋아하고, 끝내주는 축구 실력과 유난히 잘 어울리는 짧은 머리로<br/>친구들을 사로잡는 그의 진짜 이름은 ‘로레’!<br/>눈물겹게 아름답고, 눈부시게 다정했던<br/>10살 여름의 비밀 이야기가 시작된다!",,admin01
339,192624,트라이얼 오브 더 시카고 7,"드라마, 스릴러",미국,129분,"15세 관람가, R",2020.10.16,8.64,아론 소킨,"야히아 압둘 마틴 2세, 조셉 고든 레빗, 제레미 스트롱","1968년 시카고, 민주당 전당대회에서 평화롭게 시작했던 반전 시위가 경찰 및 주 방위군과 대치하는 폭력 시위로 변하면서 7명의 시위 주동자 ‘시카고 7’이 기소되었던 악명 높은 재판을 다룬 이야기",,admin01
340,173247,트랜짓,"드라마, SF","독일, 프랑스",101분,12세 관람가,2020.07.02,8.21,크리스티안 펫졸드,"프란츠 로고스키, 폴라 비어","모두가 떠나는 곳에서 그녀를 만났다<br/>독일군이 파리로 진군하자 ‘게오르그’는 마르세유로 탈출한다.<br/>그는 자살한 ‘바이델’ 작가의 가방을 갖고 있는데<br/>가방에는 작가의 원고와 아내에게서 온 편지,<br/>멕시코 대사관에서 온 비자 허가서가 있다.<br/>‘게오르그’는 ‘바이델’ 작가로 신분을 위조해 멕시코로 떠나려 하지만<br/>신비한 여인 ‘마리’를 만나며 모든 것이 변하게 된다.",,admin01
341,191633,트롤: 월드 투어,"애니메이션, 모험, 코미디, 가족, 판타지, 뮤지컬",미국,91분,"전체 관람가, PG",2020.04.29,8.84,"월트 도른, 데이빗 P. 스미스","안나 켄드릭, 저스틴 팀버레이크","노래와 춤을 즐기며 평화로운 나날을 보내던 팝 트롤 ‘파피’와 ‘브랜치’ 그리고 친구들.<br/>어느 날 ‘파피’는 자신들 외에도 서로 다른 외모와 노래를 가진 5개의 트롤 마을이 더 있다는 것을 알게 된다.<br/><br/>모두와 친구가 되어 신나게 지내고 싶은 ‘파피’와 달리,<br/>록 트롤 마을의 여왕 ‘바브’는 록을 제외한 모든 음악을 없애기 위해 다른 트롤 마을들을 하나씩 파괴하기 시작하고<br/>‘파피’는 위기에 빠진 트롤 세계를 구하기 위해 친구들과 위험천만한 모험을 떠나게 되는데…",,admin01
342,195663,트롤킹,"애니메이션, 모험, 판타지","노르웨이, 캐나다",83분,전체 관람가,2020.10.07,8.07,"케빈 먼로, 크리스티안 캄","이승행, 손선영, 원에스더",트롤 왕국의 그롬 왕은 함정에 빠진 아들 트림을 구하려다<br/>태양의 저주로 온몸이 돌처럼 굳어버린다.<br/><br/>마법사 타오티는 왕의 목숨을 구할 수 있는 열쇠는<br/>전설의 괴물 픽시가 가지고 있다고 알려준다.<br/>또한 픽시가 살고 있는 금지된 숲은<br/>파멸 다리와 비극의 계곡 그리고 절망의 늪을 통과해야만 갈 수 있는 위험한 곳.<br/><br/>주어진 시간은 단 3일!<br/>단 한 명도 살아 돌아온 적 없는 전설의 괴물 픽시에게 향하는 트림과 친구들은<br/>과연 왕과 왕국을 구할 수 있을까?,,admin01
343,185153,파도를 걷는 소년,드라마,한국,97분,15세 관람가,2020.05.14,6.67,최창환,"곽민규, 김현목","제주에서 외국인 불법 취업 브로커 일을 하는 이주노동자 2세 김수.<br/>폭력전과로 출소한 수는 사회봉사로 해안을 청소하다가<br/>바다에서 서핑하고 있는 서퍼들의 모습에 빠진다.<br/>쓰레기통에서 우연히 주운 보드를 가지고 무작정 바다에 뛰어든 수.<br/>그런데 제주 서퍼 해나가 위험하다며 수에게 태클을 건다.<br/>수는 서프숍을 운영하는 똥꼬와 서퍼 해나에게 천천히 서핑을 배우게 되고,<br/>서핑에 빠져들수록 외국인 불법 취업 브로커 일은 점점 잊게 되는데….<br/><br/>수의 새로운 제주 서핑라이프는 무사히 지속될 수 있을까?",,admin01
344,182071,파라다이스 힐스,"판타지, 미스터리","스페인, 미국",94분,12세 관람가,2020.03.19,6.26,앨리스 웨딩턴,"엠마 로버츠, 밀라 요보비치, 에이사 곤살레스","어느 날, ‘파라다이스 힐스’라는 낯선 곳에서 깨어난 ‘우마’. 하지만 어떻게 누구에 의해 이곳에 오게 되었는지는 기억이 나지 않는다. 파라다이스 힐스는 외딴 곳에 고립된 섬이지만 소녀들의 눈과 마음을 사로잡는 매력적인 것들로 가득하다.<br/>초대된 모두에게 아름다움을 완성시켜주는 곳이라고만 알고 있던 소녀들이 이곳의 비밀을 하나 둘씩 알게 되면서 섬을 빠져나가기 위한 계획을 세우지만 치료라는 명목의 또 다른 어두운 진실과 마주하게 되는데…",,admin01
345,149434,파리 오페라 발레단,다큐멘터리,프랑스,110분,전체 관람가,2020.06.11,8.12,"티에리 데마이지에르, 알반 테우를라이",벤자민 마일피드,"뉴욕시티발레단 수석무용수, <블랙 스완> 안무가 뱅자맹 밀피에<br/>세계 최고의 발레단 파리 오페라 발레단의 예술감독으로 부임한다.<br/>역사와 전통을 중시하는 발레단에서 밀피에는 새로운 시대에 맞는 새로운 발레를 준비하는데..<br/>뱅자맹 밀피에가 새로 쓴 발레의 역사, “이것은 창작에 관한 이야기이다”",,admin01
346,194486,파리의 인어,"판타지, 멜로/로맨스",프랑스,102분,12세 관람가,2020.07.23,6.41,마티아스 말지우,"마릴린 리마, 니콜라스 뒤보셸","낭만으로 빛나는 파리의 밤,<br/>세느 강변에 ‘인어’의 노래가 울려 퍼진다.<br/><br/>“나는 심장이 터져버렸어요.”<br/>더 이상 사랑은 없다고 믿는 남자 ‘가스파르’는<br/>세상에 남은 마지막 인어 ‘룰라’를 만난다.<br/>그리고, 그녀를 사랑하는 남자는 모두 죽게 된다는 사실을 알게 되는데…<br/><br/>“당신이, 나를 사랑하지 않아서 기뻐요.”<br/>사랑이 시작되는 도시 파리,<br/>사랑하면 안되는 운명으로 만난 ‘인간’과 ‘인어’의<br/>꿈같은 로맨스가 펼쳐진다!",,admin01
347,185357,파바로티,다큐멘터리,영국,114분,12세 관람가,2020.01.01,9.03,론 하워드,루치아노 파바로티,역사상 최초 클래식으로 음악 차트 올킬 신화를 만든 슈퍼스타 ‘루치아노 파바로티’의 첫 이야기,,admin01
348,193195,파티마의 기적,드라마,"미국, 포르투갈",113분,12세 관람가,2020.12.03,8.96,마코 폰테코보,"하비 케이틀, 스테파니 길, 고란 비스닉","1917년, 제1차 세계대전이 한창이던 어느 날<br/>포르투갈의 작은 마을 파티마에 한 줄기 빛이 비춘다<br/><br/>10살 소녀 루치아와 그녀의 어린 사촌동생들은<br/>그 빛 가운데 믿기 힘든 놀라운 광경을 목격한다<br/><br/>“누구세요? 어디서 오셨어요?”<br/>“천국에서 왔단다”<br/>“저희에게 오신 이유가 뭔가요?”<br/><br/>그들의 물음에, 그녀는 매달 13일 자신을 찾아오라 이야기하고<br/>매일 빠짐없이 기도를 할 것을 당부하는데…",,admin01
349,195681,팔로우 미,스릴러,미국,91분,15세 관람가,2020.10.22,6.48,윌 워닉,"키건 앨런, 홀랜드 로던","실시간 라이브 방송으로 인기 있는 유튜버 ‘콜’. 10주년을 맞이하여 러시아의 억만장자에게 특별한 제안을 받고, 친구들과 함께 러시아로 떠나게 된다.<br/>그곳에서 ‘콜’과 친구들은 이제껏 단 한 번도 본 적 없는 러시안 스타일의 색다른 방 탈출게임을 시작하게 되고, 가까스로 탈출한다. 하지만 갑작스러운 괴한의 납치로 이들은 또 다른 위험에 처하고, 이것 역시 실시간 방송이 된다. 이제 다가올 상황은 더 이상 게임이 아닌 리얼 상황!! 과연, 이들은 무사히 탈출에 성공할 수 있을까?",,admin01
350,186235,팡파레,"드라마, 스릴러, 범죄",한국,88분,청소년 관람불가,2020.07.09,7.41,이돈구,"임화영, 박종환, 남연우","할로윈 파티의 흥분이 아직 가시지 않은 깊은 밤.<br/>셔터가 닫힌 바에 불청객의 등장과 함께 예기치 못한 살인사건이 일어난다.<br/>사태 수습을 위해 하나 둘 모여드는 정체불명의 빌런들.<br/>돌이킬 수 없는 악몽으로 바뀐 하루!<br/>""죽을 때까지 오늘 일만큼은 잊혀지지 않을 걸?""",,admin01
351,194766,팬데믹,스릴러,미국,97분,15세 관람가,2020.07.22,3.53,타카시 도셔,"프리다 핀토, 레슬리 오덤 주니어","어느 날 갑자기 등장해<br/>전 세계를 뒤흔든 의문의 바이러스.<br/>국가 비상사태가 선포된 후<br/>주변의 위협과 커져가는 불안감 속<br/>‘에바’와 연인 ‘윌’은<br/>기약없이 숨막히는 하루하루를 보내는데…<br/><br/>사상 초유의 바이러스,<br/>살아남기 위한 끝없는 싸움이 시작된다!",,admin01
352,187848,퍼스트 러브,"범죄, 멜로/로맨스, 액션",일본,108분,청소년 관람불가,2020.12.17,7.18,미이케 다카시,"쿠보타 마사타카, 오모리 나오, 소메타니 쇼타","은밀한 한 탕을 설계한 범죄 조직원 ‘카세’<br/>야쿠자와 손을 잡은 부패 경찰 ‘오토모’<br/>그리고, 시한부 선고를 받은 복서 ‘레오’<br/><br/>잃을 것 없는 그들이 움직이기 시작한 바로 그날 밤<br/>예상치 못한 유일한 변수 ‘모니카’가 나타나고<br/><br/>완벽했던 그들의 계획은 걷잡을 수 없이 뒤틀리기 시작하는데…",,admin01
353,189609,페뷸러스,코미디,캐나다,109분,15세 관람가,2020.11.05,7.29,멜라니 샤르본느,"줄리엣 고셀린, 노에미 오파렐, 모우니아 자흐잠","찐친이자 룸메이트인 ‘로리’와 ‘엘리’ 앞에<br/>어느 날 할리우드 스타급 인기를 자랑하는 인플루언서 ‘클라라’가 나타나면서<br/>이들의 특별한 우정이 시작된다.<br/>2만 팔로워가 있어야 작가가 될 수 있는 ‘로리’는<br/>‘클라라’의 베프로 인스타 팔로워를 늘려가며 점점 ‘클라라’의 인기를 추월하게 되는데…<br/>한편, ‘엘리’는 SNS에 영혼을 판 것 같은 ‘로리’와 여성을 상품화하는 ‘클라라’가 못 마땅하지만<br/>서로 다름을 인정하고 우정을 쌓아가게 된다.<br/><br/>다름을 인정하는 순간 진짜 친구가 되는 거야<br/>SNS시대를 살아가는 우리들을 위한 어썸 우먼 무비!<br/>YAASSSSSS♥",,admin01
354,195687,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,"애니메이션, 액션, 판타지",일본,122분,15세 관람가,2021.03.11 2020.10.22,9.21,스도 토모노리,"스기야마 노리아키, 시타야 노리코","마술사 '마스터'와 영령 '서번트'가 모든 소원을 이뤄주는 '성배'를 둘러싸고 싸우는 '성배전쟁'. 하지만 그 싸움은 일그러져 있었다 마토 사쿠라는 자신이 저지른 죄와 함께 마키리의 잔으로서 각성하여 깊은 어둠 속에 빠지고 말았다. 그런 사쿠라를 지키겠다고 맹세한 소년, 에미야 시로는 토오사카 린과 함께 사쿠라를 어둠 속에서 구하고 일그러진 '성배전쟁'을 끝내기 위해 자신의 몸을 돌보지 않고 가혹한 싸움에 몸을 던진다. 소년의 소망은 소녀에게 닿을 것인가. 끝을 향해 달려가는 '성배전쟁' 최후의 싸움이 드디어 시작된다.",,admin01
355,185254,페인 앤 글로리,드라마,스페인,113분,청소년 관람불가,2020.02.05,8.39,페드로 알모도바르,"페넬로페 크루즈, 안토니오 반데라스","수많은 걸작을 탄생시킨 영화감독 ‘살바도르 말로’.<br/>약해진 몸과 마음으로 활동을 중단한 채 지내고 있다.<br/><br/>그는 32년 만에 자신의 영화를 다시 보게 되고,<br/>미워했던 주연 배우 ‘알베르토’를 오랜만에 찾아간다. <br/>그리고 자신의 과거와 조우하게 되면서<br/>새로운 영감을 얻게 되는데.. <br/><br/>강렬했던 첫사랑,<br/>찬란했던 욕망,<br/>괴로웠던 이별,<br/>가장 솔직한 거장의 세계를 들여다본다!",,admin01
356,193209,펠리칸 베이커리,다큐멘터리,일본,80분,전체 관람가,2020.04.02,7.29,우치다 슌타로,"와타나베 리쿠, 나기 히로유키, 이토 마사코","SINCE 1942.<br/><br/>도쿄 아사쿠사에 위치한 빵집 ‘펠리칸’은 이른 아침부터 사람들로 붐빈다.<br/>판매하는 빵은 식빵과 롤빵, 단 두 가지.<br/>평범해 보이지만 매일 먹어도 질리지 않는 진심의 맛으로<br/>78년 동안 사랑받는 베이커리를 만난다!",,admin01
