movie_seq,movie_img,movie_title,movie_type,movie_country,movie_runtime,movie_age,movie_open_date,movie_rating,movie_director,movie_actor,movie_content,,admin_id
11,200449,가을의 마티네,멜로/로맨스,일본,124분,12세 관람가,2020.12.31,8.42,니시타니 히로시,"후쿠야마 마사하루, 이시다 유리코",천재 기타리스트 마키노는 공연을 찾아온 저널리스트 요코에게 첫눈에 반한다.<br/>마키노는 자신의 감정을 적극적으로 표현하지만 현실의 어려움에 부딪힌 요코는 파리로 돌아간다.<br/>서로를 그리워하던 마키노와 요코는 파리에서 재회해 마음을 확인하고<br/>마침내 함께 할 것을 약속한다. 하지만 약속의 그날 마키노가 나타나지 않는데…,,admin01
12,188909,강철비2: 정상회담,"드라마, 액션",한국,142분,15세 관람가,2020.07.29,4.96,양우석,"정우성, 곽도원, 유연석","북미 평화협정 체결을 위한 대한민국 대통령(정우성), 북한의 최고지도자인 위원장(유연석)과 미국 대통령(앵거스 맥페이든)간의 남북미 정상회담이 북한 원산에서 열린다. 북미 사이 좀처럼 이견이 좁혀지지 않는 가운데, 핵무기 포기와 평화체제 수립에 반발하는 북 호위총국장(곽도원)의 쿠데타가 발생하고, 납치된 세 정상은 북한 핵잠수함에 인질로 갇힌다. 그리고, 좁디 좁은 함장실 안, 예기치 못한 진정한 정상회담이 벌어지게 되는데…<br/><br/>동북아시아의 운명이 핵잠수함에 갇혔다!<br/>과연, 남북미 세 지도자는 전쟁 위기를 막을 수 있을 것인가?",,admin01
13,190579,개 같은 것들,"드라마, 스릴러, 미스터리, 범죄, 가족",한국,99분,청소년 관람불가,2020.12.17,6.87,최종학,"지대한, 설지윤, 김승현",하루가 멀다 하고 술에 취해<br/>딸 ‘시아’를 때리기 일쑤인 남자 ‘종구’<br/>그가 사는 마을에서 아동 성폭행 범죄가 연쇄적으로 벌어진다.<br/><br/>그러던 어느 날 ‘시아’가 실종되었다가 다시 찾았지만<br/>더 이상 접근조차 하지 못하게 하는 딸의 태도에<br/>자신이 용의자라는 소문과 의심이 퍼져 나간다.<br/><br/>인생 밑바닥에 떨어진 ‘종구’는<br/>딸을 향한 뒤늦은 후회를 하는데…,,admin01
14,189631,갱,액션,한국,94분,15세 관람가,2020.01.16,6.02,조바른,"차지혁, 조선기, 옥윤중","교도소를 개조해 만든 국내 최악의 고등학교 ‘대훈고’<br/>그리고 그 곳에 온 강제전학생 최지훈.<br/>그의 목표는 단 하나, 이곳에서 ‘짱’이 되는 것!<br/>하지만 현실은 그리 만만치 않다.<br/>종소리가 울리면 매점 대신 지하실로 몰려가는 학생들.<br/>그 곳에는 매일 비밀리에 그들만의 배틀이 시작되고 있었는데…<br/>선생은 물론 학생들까지 싸움에 미쳐있는 곳.<br/>우승하는 자만이 ‘짱‘이 될 수 있는 곳.<br/>여기는 학교인가? 아니, 파이트 클럽이다!",,admin01
15,188993,건즈 아킴보,액션,영국,97분,청소년 관람불가,2020.04.15,6.45,제이슨 레이 하우덴,"다니엘 래드클리프, 사마라 위빙, 네드 데네히","낮엔 평범한 직장인, 밤엔 키보드 워리어 ‘마일즈’ <br/>손가락 한번 잘못 놀렸다가 살인 미션을 받아버렸다?! <br/><br/>레알 목숨을 걸고 싸우는 신개념 게임 ‘스키즘’ <br/>자고 일어나니 양손에는 권총이 박히고 게임에 강제 접속이 되어버리면서 <br/>전 세계인들의 관람이 시작된다. <br/><br/>설상가상 그의 상대는 오억전오억승을 자랑하는 <br/>이 구역의 미친X 킬링 플레이어 ‘닉스’ <br/><br/>“파리도 못 죽이는 내가 저 여자를 어떻게 죽여!”<br/>“그럼 네가 죽을래?”<br/><br/>누구 하나 죽을 때까지 끝나지 않는 이 지독한 게임<br/>과연 ‘마일즈’는 살아남을 수 있을까..? <br/><br/>모두를 압도할 SO CRAZ~Y 익스트림 킬링배틀이 시작된다!",,admin01
16,170841,걸즈 앤 판처 최종장 제1화,"애니메이션, 드라마",일본,48분,12세 관람가,2020.01.08,8.57,미즈시마 츠토무,"후치가미 마이, 카야노 아이, 이구치 유카","대학 선발팀과의 시합에서 우승하며 오아라이 여고를 폐교 위기에서 구해낸 미호와 전차도 팀원들은 3학년 선배 모모의 유급 소식을 듣는다.<br/>스포츠 특기생 전형으로 모모의 대학 진학을 돕기로 하고, 20년 만에 부활한 동계 대회 우승을 목표로 다시 한번 의기투합하는 오아라이 여고 전차도 팀.<br/>모모를 대장으로 무한궤도배 토너먼트전에 출전하지만, 첫 경기부터 강호 BC자유 고교를 만나 예상치 못한 위기에 빠지게 되는데…",,admin01
17,129860,걸후드,드라마,프랑스,113분,12세 관람가,2020.11.12,8.19,셀린 시아마,"카리자 투레, 아사 실라, 마리투 투레","홀로 생계를 이끄는 엄마를 대신해 두 동생을 보살피고,<br/>가부장적이고 폭력적인 오빠의 눈치를 보며 하루하루 버텨내는<br/>'마리엠'은 파리 외곽에 살고 있는 16세 소녀다.<br/>집과 학교 그 어디에서도 자신의 목소리를 내지 못하던 그는<br/>자유로운 영혼의 세 친구 ‘레이디’, ‘아디아투’, ‘필리’를 만나<br/>‘빅’이라는 이름을 얻고 차츰 변화해 나가는데…<br/><br/>마침내, 현실을 딛고 진짜 원하는 나를 찾아 나선 '마리엠'의 찬란한 이야기가 시작된다!",,admin01
18,165287,검객,액션,한국,100분,15세 관람가,2020.09.23,7.91,최재훈,"장혁, 김현수, 조 타슬림","광해군 폐위 후, 스스로 자취를 감춘 조선 최고의 검객 ‘태율’(장혁).<br/>한편, 조선을 사이에 둔 청과 명의 대립으로 혼란은 극에 달하고,<br/>청나라 황족 ‘구루타이’(조 타슬림)는 무리한 요구를 해대며 조선을 핍박한다.<br/> <br/>백성들의 고통이 날로 더해가던 중, ‘구루타이’의 수하들에 의해 태율의 딸이 공녀로 잡혀가고 만다. 세상을 등진 채 조용히 살고자 했던 조선 최고의 검객 ‘태율’은 딸을 구하기 위한 자비 없는 검을 휘두르기 시작하는데...",,admin01
19,174269,겨울밤에,드라마,한국,91분,12세 관람가,2020.12.10,6.34,장우진,"서영화, 양흥주","30년 만에 춘천을 찾은 남녀,<br/>무언가 잃어버린 이들의 잊지 못할 <br/>한겨울밤의 꿈 같은 영화",,admin01
20,180378,결백,드라마,한국,110분,15세 관람가,2020.06.10,7.65,박상현,"신혜선, 배종옥, 허준호","유명 로펌의 에이스 변호사 ‘정인(신혜선)’은 아빠의 장례식장에서 농약 막걸리 살인사건이 일어났음을 알게 된다.<br/>치매에 걸린 엄마 ‘화자(배종옥)’가 용의자로 지목되고,<br/>그녀의 결백을 주장하기 위해 고향으로 내려가 직접 변호를 맡는다.<br/>사건을 추적하던 중 시장 ‘추인회(허준호)’를 중심으로 한 마을 사람들의<br/>조직적 은폐와 거짓 진술 등 수상한 정황을 포착한 ‘정인’.<br/>그날의 기억을 모두 잃은 ‘화자’의 결백을 입증하기 위해 모든 사람들과 맞서기 시작하는데…!<br/><br/>파헤칠수록 커지는 의혹,<br/>과연 진실은 무엇인가?",,admin01
